Award ID,Award Date,Recipient Name,Awarded$,Award Description,PoP Duration,Days Till End,PoP Status,Solicitation ID,Solicitation Procedures,Competition Type,Offers Received,Contract Pricing Type,Set Aside Type,Funding Office Name,FSC,NAICS,Funding Agency,Funding Sub-Agency,Award Type,PoP Start Date,PoP End Date,Last Modified Date,generated_internal_id,effective_award_date,funding_office_code
N6833522C0082,2021-12-13 00:00:00,TIMKEN CO,327466.14,SPHERICAL THRUST BEARING,382,-965,Ended,N6833521R0154,SIMPLIFIED ACQUISITION,NOT COMPETED UNDER SAP,1.0,FIRM FIXED PRICE,NO SET ASIDE USED.,NAVAIR WARFARE CTR AIRCRAFT DIV,"3110 BEARINGS, ANTIFRICTION, UNMOUNTED",332991 BALL AND ROLLER BEARING MANUFACTURING,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,2021-12-13 00:00:00,2022-12-30 00:00:00,2022-06-28,CONT_AWD_N6833522C0082_9700_-NONE-_-NONE-,2021-12-13 00:00:00,N68335
N6833522C0148,2021-11-10 00:00:00,DEVAL LIFE CYCLE SUPPORT LLC,557699.01,51E TRAILERS,603,-788,Ended,N6833521R0079,ONLY ONE SOURCE,NOT COMPETED,1,FIRM FIXED PRICE,NO SET ASIDE USED.,NAVAIR WARFARE CTR AIRCRAFT DIV,1740 AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,"333924 INDUSTRIAL TRUCK, TRACTOR, TRAILER, AND STACKER MACHINERY MANUFACTURING",Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,2021-11-04 00:00:00,2023-06-30 00:00:00,2023-03-02,CONT_AWD_N6833522C0148_9700_-NONE-_-NONE-,2021-11-10 00:00:00,N68335
N6833522C0186,2021-12-23 00:00:00,HABCO INDUSTRIES LLC,286060.0,AIR TRANSPORT SET,365,-972,Ended,,ONLY ONE SOURCE,NOT AVAILABLE FOR COMPETITION,1.0,FIRM FIXED PRICE,NO SET ASIDE USED.,NAVAIR WARFARE CTR AIRCRAFT DIV,1730 AIRCRAFT GROUND SERVICING EQUIPMENT,334515 INSTRUMENT MANUFACTURING FOR MEASURING AND TESTING ELECTRICITY AND ELECTRICAL SIGNALS,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,2021-12-23 00:00:00,2022-12-23 00:00:00,2023-09-12,CONT_AWD_N6833522C0186_9700_-NONE-_-NONE-,2021-12-23 00:00:00,N68335
N6833522C0224,2022-05-02 00:00:00,D. GILLETTE INDUSTRIAL SERVICE'S INC,2573518.55,NRE- NAVY,1365,158,>60,N6833521R0217,ONLY ONE SOURCE,NOT AVAILABLE FOR COMPETITION,1.0,FIRM FIXED PRICE,8(A) SOLE SOURCE,NAVAIR WARFARE CTR AIRCRAFT DIV,1740 AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,"333924 INDUSTRIAL TRUCK, TRACTOR, TRAILER, AND STACKER MACHINERY MANUFACTURING",Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,2022-05-02 00:00:00,2026-01-26 00:00:00,2025-03-27,CONT_AWD_N6833522C0224_9700_-NONE-_-NONE-,2022-05-02 00:00:00,N68335
N6833522C0311,2022-04-20 00:00:00,"GLOBAL GROUND SUPPORT, LLC",443942.0,"DEICER, TRUCK MOUNTED",254,-965,Ended,N6833522R0055,ONLY ONE SOURCE,NOT COMPETED,1.0,FIRM FIXED PRICE,NO SET ASIDE USED.,NAVAIR WARFARE CTR AIRCRAFT DIV,1730 AIRCRAFT GROUND SERVICING EQUIPMENT,"333924 INDUSTRIAL TRUCK, TRACTOR, TRAILER, AND STACKER MACHINERY MANUFACTURING",Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,2022-04-20 00:00:00,2022-12-30 00:00:00,2024-01-18,CONT_AWD_N6833522C0311_9700_-NONE-_-NONE-,2022-04-20 00:00:00,N68335
N6833522C0335,2022-04-13 00:00:00,"INDUSTRIES FOR THE BLIND AND VISUALLY IMPAIRED, INC.",532925.98,COPARS ORDER,130,-1096,Ended,,ONLY ONE SOURCE,NOT COMPETED,1.0,FIRM FIXED PRICE,NO SET ASIDE USED.,NAVAIR WARFARE CTR AIRCRAFT DIV,"5340 HARDWARE, COMMERCIAL",493110 GENERAL WAREHOUSING AND STORAGE,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,2022-04-13 00:00:00,2022-08-21 00:00:00,2023-10-11,CONT_AWD_N6833522C0335_9700_-NONE-_-NONE-,2022-04-13 00:00:00,N68335
N6833522C0539,2022-09-28 00:00:00,GABRIEL HOLDINGS INC.,1590866.0,AIRVRIX FOD BARRIERS,236,-822,Ended,,ONLY ONE SOURCE,NOT COMPETED,1.0,FIRM FIXED PRICE,NO SET ASIDE USED.,NAVAIR WARFARE CTR AIRCRAFT DIV,1710 AIRCRAFT LANDING EQUIPMENT,332312 FABRICATED STRUCTURAL METAL MANUFACTURING,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,2022-09-28 00:00:00,2023-05-22 00:00:00,2023-03-03,CONT_AWD_N6833522C0539_9700_-NONE-_-NONE-,2022-09-28 00:00:00,N68335
N6833522C0556,2022-07-14 00:00:00,"INDUSTRIES FOR THE BLIND AND VISUALLY IMPAIRED, INC.",128867.98,COPARS ORDER 2218,31,-1103,Ended,N6833522R0556,SIMPLIFIED ACQUISITION,NOT COMPETED UNDER SAP,1.0,FIRM FIXED PRICE,NO SET ASIDE USED.,NAVAIR WARFARE CTR AIRCRAFT DIV,"5340 HARDWARE, COMMERCIAL",493110 GENERAL WAREHOUSING AND STORAGE,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,2022-07-14 00:00:00,2022-08-14 00:00:00,2022-08-08,CONT_AWD_N6833522C0556_9700_-NONE-_-NONE-,2022-07-14 00:00:00,N68335
N6833522C0593,2022-07-28 00:00:00,"INDUSTRIES FOR THE BLIND AND VISUALLY IMPAIRED, INC.",1261425.2,COPARS ORDER,100,-1020,Ended,,ONLY ONE SOURCE,NOT COMPETED,1.0,FIRM FIXED PRICE,NO SET ASIDE USED.,NAVAIR WARFARE CTR AIRCRAFT DIV,"5995 CABLE, CORD, AND WIRE ASSEMBLIES: COMMUNICATION EQUIPMENT",493110 GENERAL WAREHOUSING AND STORAGE,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,2022-07-28 00:00:00,2022-11-05 00:00:00,2022-07-28,CONT_AWD_N6833522C0593_9700_-NONE-_-NONE-,2022-07-28 00:00:00,N68335
N6833522C0612,2022-08-01 00:00:00,"INDUSTRIES FOR THE BLIND AND VISUALLY IMPAIRED, INC.",97904.84,COPARS ORDER 2022-31,167,-954,Ended,N6833522R0612,SIMPLIFIED ACQUISITION,NOT COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,NAVAIR WARFARE CTR AIRCRAFT DIV,"5340 HARDWARE, COMMERCIAL",493110 GENERAL WAREHOUSING AND STORAGE,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,2022-08-01 00:00:00,2023-01-15 00:00:00,2022-08-01,CONT_AWD_N6833522C0612_9700_-NONE-_-NONE-,2022-08-01 00:00:00,N68335
