Award ID,Award Date,Recipient Name,Awarded$,Award Description,Solicitation ID,Solicitation Procedures,Competition Type,Offers Received,Contract Pricing Type,Set Aside Type,Funding Office Name,FSC,NAICS,Funding Agency,Funding Sub-Agency,Award Type,PoP Start Date,PoP End Date,Last Modified Date,generated_internal_id,effective_award_date,funding_office_code
47QFCA25F0006,3/14/2025,"IST RESEARCH, LLC",926800,IST PULSE SMALL BUSINESS INNOVATION RESEARCH III DELIVERY ORDER 42 UNITED STATES ARMY EUROPE AND AFRICA,47QFCA25R0011,ONLY ONE SOURCE,NOT AVAILABLE FOR COMPETITION,,FIRM FIXED PRICE,,0007 HQ HQ     USAREUR-AF AUG,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,Department of the Army,DELIVERY ORDER,3/14/2025,3/13/2026,7/30/2025,CONT_AWD_47QFCA25F0006_4732_47QFCA20D0004_4732,3/14/2025,47QFCA
47QFSA25F0015,2/12/2025,ANALYTIC DESIGNS INC,2380952.39,ICOSYSTEM TECHNICAL TRAINING SUPPORT,47QFSA25Q0008,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,FIRM FIXED PRICE,,ACCTG DISB STA NR 387700,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,Department of the Air Force,DELIVERY ORDER,2/12/2025,2/11/2029,2/13/2025,CONT_AWD_47QFSA25F0015_4732_47QFSA24D0003_4732,2/12/2025,47QFSA
47QFSA25F0039,7/21/2025,ANALYTIC DESIGNS INC,523775.27,RAPID TECHNOLOGY INTEGRATION CENTER ARTIFACT SUPPORT (RTFACT),47QFSA25Q0027,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,FIRM FIXED PRICE,,NAVAL INTELLIGENCE ACTIVITY,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,Department of the Navy,DELIVERY ORDER,7/22/2025,7/21/2026,7/22/2025,CONT_AWD_47QFSA25F0039_4732_47QFSA24D0003_4732,7/21/2025,47QFSA
FA205725FB009,4/25/2025,"ICR, INC.",2210187,ACCELERATED SPECIAL PROGRAMS FOR EMERGENT NEEDS (ASPEN):  DELIVERY ORDER 20 - (DO-20): SMOOTHAMBLER,,ONLY ONE SOURCE,NOT COMPETED,,COST PLUS FIXED FEE,,NAVY CYBER WARFARE DEVELOPMENT GRP,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,541511 CUSTOM COMPUTER PROGRAMMING SERVICES,Department of Defense,Department of the Navy,DELIVERY ORDER,4/23/2025,4/22/2026,5/13/2025,CONT_AWD_FA205725FB009_9700_FA872622DB001_9700,4/25/2025,FA2057
FA205725FB017,5/30/2025,"ICR, INC.",853621,ACCELERATED SPECIAL PROGRAMS FOR EMERGENT NEEDS (ASPEN) - FA8726-22-D-B001:  DEVELOPMENT OF INTELLIGENCE AND CYBER AGILE SOFTWARE TOOLS - JNWC SUPPORTDELIVERY ORDER 21 - (DO-21): PRINCARA,,ONLY ONE SOURCE,NOT COMPETED,,COST PLUS FIXED FEE,,F2KJNC S4S JNWC,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,541511 CUSTOM COMPUTER PROGRAMMING SERVICES,Department of Defense,Department of the Air Force,DELIVERY ORDER,6/1/2025,5/31/2026,6/4/2025,CONT_AWD_FA205725FB017_9700_FA872622DB001_9700,5/30/2025,FA2057
FA240125C0005,4/22/2025,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,6000000,SDA PWSA TRANCHE 3  PROGRAM INTEGRATION  (T3PI) - DEVELOPMENT AND SYSTEMS ENGINEERING/INTEGRATION ACTIVITIES ENABLING THE DELIVERY OF SDA T3 GROUND AND SPACE VEHICLES,,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION,5,COST PLUS AWARD FEE,NO SET ASIDE USED.,F1AFM1 USSF SDA,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,Department of the Air Force,DEFINITIVE CONTRACT,5/1/2025,4/30/2030,5/7/2025,CONT_AWD_FA240125C0005_9700_-NONE-_-NONE-,4/22/2025,FA2401
FA680025F0006,5/29/2025,SMALL BUSINESS CONSULTING CORPORATION,2000000,"CEI-RADS TASK ORDER 3 LEADERSHIP EDUCATION AND WARGAMING SUPPORT - LEVERAGE ANALYTICAL METHODS AND NOVEL BUSINESS PROCESSES THAT DERIVE, EXTEND OR COMPLETE THE TECHNOLOGIES, METHODS AND PROCESSES DEVELOPED UNDER THE SBIR PHASE II CONTRACT.",,ONLY ONE SOURCE,NOT AVAILABLE FOR COMPETITION,,LABOR HOURS,,AFGS DPCC,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,Department of the Air Force,DELIVERY ORDER,6/3/2025,6/2/2026,5/29/2025,CONT_AWD_FA680025F0006_9700_FA680025D0001_9700,5/29/2025,FA6800
FA680025P0001,4/23/2025,SLNT INC,1799156.13,SBIR PHII SLINT COMMERCIAL TECHNOLOGIES FOR EMP HARDENING AND ELECTRICAL SYSTEM PROTECTION,,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,999,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,AFGS DPCC,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,Department of the Air Force,PURCHASE ORDER,4/28/2025,7/28/2027,4/23/2025,CONT_AWD_FA680025P0001_9700_-NONE-_-NONE-,4/23/2025,FA6800
FA680025P0002,4/30/2025,"OTS ACQUISITION GROUP, LLC",1458021.68,SBIR PHASE II-OTS_EMP HARDENING AND ELECTRICAL SYSTEM PROTECTION,,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,999,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,F4FBEQ AFRL RGF,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,Department of the Air Force,PURCHASE ORDER,5/1/2025,2/28/2027,4/30/2025,CONT_AWD_FA680025P0002_9700_-NONE-_-NONE-,4/30/2025,FA6800
FA680025P0003,5/1/2025,"SAFEFLIGHTS, INC.",1799900.34,SBIR PHII AWARD READINESS SPARES PACKAGE (RSP) OPTIMIZATION AFWERX TOPIC: AF 233-0035,,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,999,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,AFGS DPCC,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,Department of the Air Force,PURCHASE ORDER,5/2/2025,8/1/2027,5/1/2025,CONT_AWD_FA680025P0003_9700_-NONE-_-NONE-,5/1/2025,FA6800
FA680025P0005,5/5/2025,VIRTUALITICS INC,1720000,SBIR PHII VIRTUALITICS READINESS SPARES PACKAGE (RSP) OPTIMIZATION F2-18408,,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,999,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,AFGS DPCC,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,Department of the Air Force,PURCHASE ORDER,5/6/2025,6/8/2027,5/5/2025,CONT_AWD_FA680025P0005_9700_-NONE-_-NONE-,5/5/2025,FA6800
FA857125C0024,4/10/2025,RGBSI AEROSPACE & DEFENSE LLC,1975704.85,"SBIR - PH3 - TOPIC DLA232-001, DIGITAL SUSTAINMENT PLATFORM: LEVERAGING DSP INTEGRATED CAPABILITIES TO RESOLVEDLA (NO BID) SOURCING ISSUES",,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,1,FIRM FIXED PRICE,NO SET ASIDE USED.,F3QCAM AFSC ENRW,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,Department of the Air Force,DEFINITIVE CONTRACT,4/10/2025,4/9/2026,4/10/2025,CONT_AWD_FA857125C0024_9700_-NONE-_-NONE-,4/10/2025,FA8571
