Award ID,Award Date,Recipient Name,Awarded$,Award Description,Solicitation ID,Solicitation Procedures,Competition Type,Offers Received,Contract Pricing Type,Set Aside Type,Funding Office Name,FSC,NAICS,Funding Agency,Funding Sub-Agency,Award Type,PoP Start Date,PoP End Date,Last Modified Date,generated_internal_id,effective_award_date,funding_office_code
140D0424F0502,4/2/2024,"BERING GLOBAL SOLUTIONS, LLC",305952.94,SCHICKLER TBD LAVATORY SERVICE TRUCK - O,,SIMPLIFIED ACQUISITION,NOT COMPETED UNDER SAP,,FIRM FIXED PRICE,,F3QCDK AFLCMC ROZ SPT EQUIP VEH,1730 AIRCRAFT GROUND SERVICING EQUIPMENT,336120 HEAVY DUTY TRUCK MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,4/5/2024,12/31/2025,8/12/2025,CONT_AWD_140D0424F0502_1406_140D8020D0014_1406,4/2/2024,140D04
140L0224P0044,9/11/2024,CERTIFIED STAINLESS SERVICE INC.,1560024.84,AO# 23454 REPL I620209 FUEL TENDER,140L0224Q0023,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,1,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,ALASKA FIRE SERVICE,1730 AIRCRAFT GROUND SERVICING EQUIPMENT,336120 HEAVY DUTY TRUCK MANUFACTURING,Department of the Interior,Bureau of Land Management,PURCHASE ORDER,9/11/2024,5/31/2025,9/11/2024,CONT_AWD_140L0224P0044_1422_-NONE-_-NONE-,9/11/2024,140L02
140L3724F0207,7/15/2024,AERO SPECIALTIES INC,19459.74,TOWABLE AIRCRAFT BOARDING STAIRS,,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION,1,FIRM FIXED PRICE,,NATIONAL INTERAGENCY FIRE CENTER,1730 AIRCRAFT GROUND SERVICING EQUIPMENT,336112 LIGHT TRUCK AND UTILITY VEHICLE MANUFACTURING,Department of the Interior,Bureau of Land Management,DELIVERY ORDER,7/15/2024,10/31/2024,7/15/2024,CONT_AWD_140L3724F0207_1422_GS30F0030X_4732,7/15/2024,140L37
47QMCA24F0DSA,3/28/2024,A3 SYSTEMS CORPORATION,181382.56,MULTIPLE AWARD SCHEDULES (MAS),47QSMD20R0001,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION,999,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,,GSA/FAS AUTOMOTIVE CENTER,1730 AIRCRAFT GROUND SERVICING EQUIPMENT,336112 LIGHT TRUCK AND UTILITY VEHICLE MANUFACTURING,General Services Administration,Federal Acquisition Service,DELIVERY ORDER,3/28/2024,12/23/2024,3/29/2024,CONT_AWD_47QMCA24F0DSA_4732_47QSWA18D008X_4732,3/28/2024,47QMCA
47QSWA24F09SD,11/9/2023,AERO SPECIALTIES INC,59244.34,PN:  2003642   B4 MAINTENANCE STAND  4 EACH  PN:  2001098   B1 MAINTENANCE STAND  2 EACH,47QSMD20R0001,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION,999,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,,"GSA/FAS SCIENTFC,TEMP SVCS,ADINT",1730 AIRCRAFT GROUND SERVICING EQUIPMENT,336112 LIGHT TRUCK AND UTILITY VEHICLE MANUFACTURING,General Services Administration,Federal Acquisition Service,DELIVERY ORDER,11/9/2023,12/24/2023,11/10/2023,CONT_AWD_47QSWA24F09SD_4732_GS30F0030X_4732,11/9/2023,47QSWA
47QSWA24F1N11,5/8/2024,A3 SYSTEMS CORPORATION,0,TRONAIR INC.-14-6804-6000,47QSMD20R0001,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION,999,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,,"GSA/FAS SCIENTFC,TEMP SVCS,ADINT",1730 AIRCRAFT GROUND SERVICING EQUIPMENT,336112 LIGHT TRUCK AND UTILITY VEHICLE MANUFACTURING,General Services Administration,Federal Acquisition Service,DELIVERY ORDER,5/8/2024,6/2/2025,6/3/2025,CONT_AWD_47QSWA24F1N11_4732_47QSWA18D008X_4732,5/8/2024,47QSWA
6973GH24F00947,6/13/2024,INTERNATIONAL TELEVISION CORPORATION,38656.11,"ITEMS TO BE PURCHASED BY THE NATIONAL TEST EQUIPMENT PROGRAM NAS ENGINEERING SUPPORT TEAM, AJW-1610 KEVIN ALLEMAN - 817-300-7369 HTTPS://NAS.AMC.FAA.GOV/SLE/NTEP/  KSN ID 487 NEIS CY23 RESTART PROJECT  MATERIALS AND TEST EQUIPMENT NEEDED TO RE",,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION,15,FIRM FIXED PRICE,,FAA,1730 AIRCRAFT GROUND SERVICING EQUIPMENT,332510 HARDWARE MANUFACTURING,Department of Transportation,Federal Aviation Administration,DELIVERY ORDER,6/13/2024,7/13/2024,6/13/2024,CONT_AWD_6973GH24F00947_6920_GS21F169AA_4732,6/13/2024,6973GH
70B02C24F00000916,9/19/2024,"WRIGHT & WRIGHT MACHINERY CO., INC.",639825.42,DELIVERY ORDER IS ISSUED AGAINST THE VENDOR GSA CONTRACT GS07F0564W FOR THE PROCUREMENT OF SIX LEKTRO ELECTRIC TOWBARLESS AIRCRAFT TUGS IN SUPPORT OF CBP AIR AND MARINE OPERATIONS.,,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION,1,FIRM FIXED PRICE,,OFFICE OF AIR AND MARINE OPERATIONS,1730 AIRCRAFT GROUND SERVICING EQUIPMENT,"333924 INDUSTRIAL TRUCK, TRACTOR, TRAILER, AND STACKER MACHINERY MANUFACTURING",Department of Homeland Security,U.S. Customs and Border Protection,DELIVERY ORDER,9/19/2024,3/31/2025,9/23/2024,CONT_AWD_70B02C24F00000916_7014_GS07F0564W_4730,9/19/2024,70B02C
70Z03124PALAM0126,9/3/2024,"BLUE MOON DESIGNS, LLC",33372,HELILADDERS FOR AVIATION MAINTENANCE.,,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,3,FIRM FIXED PRICE,NO SET ASIDE USED.,11TH COAST GUARD DISTRICT OFFICE,1730 AIRCRAFT GROUND SERVICING EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Homeland Security,U.S. Coast Guard,PURCHASE ORDER,9/3/2024,10/31/2024,1/10/2025,CONT_AWD_70Z03124PALAM0126_7008_-NONE-_-NONE-,9/3/2024,70Z031
70Z03824FD0000011,1/25/2024,LOCKHEED MARTIN CORP,16797.84,PURCHASE OF GROUND HANDLING EQUIPMENT ADAPTER FOR THE COAST GUARD'S HC130 AIRCRAFT.,,ONLY ONE SOURCE,NOT COMPETED,1,FIRM FIXED PRICE,NO SET ASIDE USED.,AVIATION LOGISTICS CENTER (ALS),1730 AIRCRAFT GROUND SERVICING EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Homeland Security,U.S. Coast Guard,DELIVERY ORDER,1/25/2024,1/31/2025,1/25/2024,CONT_AWD_70Z03824FD0000011_7008_SPE4A123G0019_9700,1/25/2024,70Z038
