Award ID,Award Date,Recipient Name,Awarded$,Award Description,PoP Duration,Days Till End,PoP Status,Solicitation ID,Solicitation Procedures,Competition Type,Offers Received,Contract Pricing Type,Set Aside Type,Funding Office Name,FSC,NAICS,Funding Agency,Funding Sub-Agency,Award Type,PoP Start Date,PoP End Date,Last Modified Date,generated_internal_id,effective_award_date,funding_office_code
N6833523C0113,2022-12-12 00:00:00,RHINESTAHL CORPORATION,3007520.0,NOZZLE INLET-F414 ENGINE,627,-356,Ended,N6833522R0071,ONLY ONE SOURCE,NOT COMPETED,1.0,FIRM FIXED PRICE,NO SET ASIDE USED.,NAVAIR WARFARE CTR AIRCRAFT DIV,1730 AIRCRAFT GROUND SERVICING EQUIPMENT,"333924 INDUSTRIAL TRUCK, TRACTOR, TRAILER, AND STACKER MACHINERY MANUFACTURING",Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,2022-12-12 00:00:00,2024-08-30 00:00:00,2024-04-16,CONT_AWD_N6833523C0113_9700_-NONE-_-NONE-,2022-12-12 00:00:00,N68335
N6833523C0168,2023-01-17 00:00:00,MARTIN UAV LLC,2832778.44,MARTIN UAV PHASE II BAA CONTRACT,773,-174,Ended,N6833521R0315,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION,1.0,FIRM FIXED PRICE,NO SET ASIDE USED.,NAVAIR WARFARE CTR AIRCRAFT DIV,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,2023-01-17 00:00:00,2025-02-28 00:00:00,2025-01-30,CONT_AWD_N6833523C0168_9700_-NONE-_-NONE-,2023-01-17 00:00:00,N68335
N6833523C0247,2023-05-03 00:00:00,PENN STATE TOOL & DIE CORP,3925596.0,RETRACTABLE DECK SHEAVES FOR CVN80,723,-118,Ended,,ALTERNATIVE SOURCES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,2.0,FIRM FIXED PRICE,NO SET ASIDE USED.,NAVAIR WARFARE CTR AIRCRAFT DIV,1710 AIRCRAFT LANDING EQUIPMENT,"333923 OVERHEAD TRAVELING CRANE, HOIST, AND MONORAIL SYSTEM MANUFACTURING",Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,2023-05-03 00:00:00,2025-04-25 00:00:00,2024-10-09,CONT_AWD_N6833523C0247_9700_-NONE-_-NONE-,2023-05-03 00:00:00,N68335
N6833523C0248,2023-06-13 00:00:00,NORTHROP GRUMMAN SYSTEMS CORPORATION,28261737.92,ARC UPGRADE III,1248,436,>60,,ONLY ONE SOURCE,NOT COMPETED,1.0,COST PLUS FIXED FEE,NO SET ASIDE USED.,NAVAIR WARFARE CTR AIRCRAFT DIV,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,541330 ENGINEERING SERVICES,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,2023-06-01 00:00:00,2026-10-31 00:00:00,2025-02-24,CONT_AWD_N6833523C0248_9700_-NONE-_-NONE-,2023-06-13 00:00:00,N68335
N6833523C0415,2023-06-28 00:00:00,GREENE MACHINE & MANUFACTURING INC,1418270.0,PYLON TRAILER ADAPTER,218,-602,Ended,,ONLY ONE SOURCE,NOT AVAILABLE FOR COMPETITION,1.0,FIRM FIXED PRICE,8(A) SOLE SOURCE,NAVAIR WARFARE CTR AIRCRAFT DIV,1730 AIRCRAFT GROUND SERVICING EQUIPMENT,"333924 INDUSTRIAL TRUCK, TRACTOR, TRAILER, AND STACKER MACHINERY MANUFACTURING",Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,2023-05-24 00:00:00,2023-12-28 00:00:00,2025-02-10,CONT_AWD_N6833523C0415_9700_-NONE-_-NONE-,2023-06-28 00:00:00,N68335
N6833523F0012,2022-10-19 00:00:00,"HYDRAULICS INTERNATIONAL, INC.",5731958.07,MHU-83D/E PRODUCTION UNITS YEAR FOUR,437,-600,Ended,N6833518R0108,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,FIRM FIXED PRICE,,NAVAIR WARFARE CTR AIRCRAFT DIV,1730 AIRCRAFT GROUND SERVICING EQUIPMENT,"333924 INDUSTRIAL TRUCK, TRACTOR, TRAILER, AND STACKER MACHINERY MANUFACTURING",Department of Defense,Department of the Navy,DELIVERY ORDER,2022-10-19 00:00:00,2023-12-30 00:00:00,2023-05-22,CONT_AWD_N6833523F0012_9700_N6833518D0009_9700,2022-10-19 00:00:00,N68335
N6833523F0032,2022-11-15 00:00:00,CANADIAN COMMERCIAL CORPORATION,12590722.0,RAST SYSTEM (LESS RSD) (YEAR ONE),1773,744,>60,,ONLY ONE SOURCE,NOT COMPETED,,FIRM FIXED PRICE,,NAVAIR WARFARE CTR AIRCRAFT DIV,1710 AIRCRAFT LANDING EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Navy,DELIVERY ORDER,2022-10-27 00:00:00,2027-09-04 00:00:00,2025-05-02,CONT_AWD_N6833523F0032_9700_N6833522D0005_9700,2022-11-15 00:00:00,N68335
N6833523F0106,2022-12-22 00:00:00,"INDUSTRIES FOR THE BLIND AND VISUALLY IMPAIRED, INC.",81244.14,COPARS ORDER 2023-01,405,-573,Ended,,ONLY ONE SOURCE,NOT AVAILABLE FOR COMPETITION,1,FIRM FIXED PRICE,NO SET ASIDE USED.,NAVAIR WARFARE CTR AIRCRAFT DIV,"5340 HARDWARE, COMMERCIAL",561990 ALL OTHER SUPPORT SERVICES,Department of Defense,Department of the Navy,DELIVERY ORDER,2022-12-22 00:00:00,2024-01-31 00:00:00,2025-03-25,CONT_AWD_N6833523F0106_9700_N6833523G0004_9700,2022-12-22 00:00:00,N68335
N6833523F0129,2023-01-23 00:00:00,"L3 TECHNOLOGIES, INC.",1618555.04,"ASSEMBLY, SMA TEST INTERFACE",360,-581,Ended,,ONLY ONE SOURCE,NOT COMPETED,,FIRM FIXED PRICE,,NAVAIR WARFARE CTR AIRCRAFT DIV,"5995 CABLE, CORD, AND WIRE ASSEMBLIES: COMMUNICATION EQUIPMENT","331420 COPPER ROLLING, DRAWING, EXTRUDING, AND ALLOYING",Department of Defense,Department of the Navy,DELIVERY ORDER,2023-01-23 00:00:00,2024-01-18 00:00:00,2023-01-23,CONT_AWD_N6833523F0129_9700_N6833523D0013_9700,2023-01-23 00:00:00,N68335
N6833523F0135,2023-02-13 00:00:00,"DIXEQUIP, INC.",1677300.0,PMTT DELIVERY ORDER OFF OF IDIQ N68335-20-D-0005,120,-800,Ended,N6833519R0321,ONLY ONE SOURCE,NOT AVAILABLE FOR COMPETITION,,FIRM FIXED PRICE,,NAVAIR WARFARE CTR AIRCRAFT DIV,1740 AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,"333924 INDUSTRIAL TRUCK, TRACTOR, TRAILER, AND STACKER MACHINERY MANUFACTURING",Department of Defense,Department of the Navy,DELIVERY ORDER,2023-02-13 00:00:00,2023-06-13 00:00:00,2023-07-26,CONT_AWD_N6833523F0135_9700_N6833520D0005_9700,2023-02-13 00:00:00,N68335
